"My Licenses","My Licenses"
"active","active"
"revoked","revoked"
"updates until %1","updates until %1"
"Entitled packages: %1","Entitled packages: %1"
"You have no licenses yet. They appear here once an order with a licensed product is paid.","You have no licenses yet. They appear here once an order with a licensed product is paid."
"Install your purchased packages with Composer using the license key as the http-basic password (the username is ignored).","Install your purchased packages with Composer using the license key as the http-basic password (the username is ignored)."
"This license key is not available for display. Contact support to have it re-issued.","This license key is not available for display. Contact support to have it re-issued."
"Bougie Licensing is not fully configured (base URL, org, repo, token).","Bougie Licensing is not fully configured (base URL, org, repo, token)."
"Bougie API failed to %1 (HTTP %2): %3","Bougie API failed to %1 (HTTP %2): %3"
"Bougie API returned an unparseable response while trying to %1.","Bougie API returned an unparseable response while trying to %1."
